#anidi -ídia=categories: A;fonts: dsalut;
acondroplàstic acondroplàstica=categories: A;fonts: dsalut;
aconfessional=categories: A;fonts: LT;
aconseguible=categories: A;fonts: derivat;
aconseguidor aconseguidora=categories: A;fonts: LT;
aconsellable=categories: A;fonts: LT;
aconsellador aconselladora=categories: A;fonts: LT;
acont=categories: A;fonts: LT;
acontraltat acontraltada=categories: A;fonts: LT;
aconític aconítica=categories: A;fonts: LT;
acoquinador -a=categories: A;fonts: AVL;
acorador acoradora=categories: A;fonts: LT;
acordable=categories: A;fonts: LT;
acordant=categories: A;fonts: LT;
acornat acornada=categories: A;fonts: LT;
acorralador acorraladora=categories: A;fonts: LT;
acorticat acorticada=categories: A;fonts: LT;
acosmista=categories: A;fonts: LT;
acostador acostadora=categories: A;fonts: LT;
acostadís acostadissa=categories: A;fonts: LT;
acostumable=categories: A;fonts: LT;
acostumat acostumada [sup. acostumadíssim]=categories: A; font: DIEC;
acotiledoni acotiledònia=categories: A;fonts: LT;
acotonat -ada=categories: A;fonts: AVL;
acral=categories: A;fonts: LT;
acranial=categories: A;fonts: LT;
acranià acraniana=categories: A;fonts: dsalut;
acraspedota=categories: A;fonts: LT;
acre=categories: A;fonts: LT;
acreditable=categories: A;fonts: LT;
acreditat acreditada [sup. acreditadíssim]=categories: A;fonts: LT;
acreditatiu acreditativa=categories: A;fonts: LT;
acrescent=categories: A;fonts: LT;
acresolat acresolada=categories: A;fonts: LT;
acriaturat acriaturada=categories: A;fonts: LT;
acridiforme=categories: A;fonts: LT;
acridínic acridínica=categories: A;fonts: LT;
acridòfag acridòfaga=categories: A;fonts: LT;
acrimoniós acrimoniosa=categories: A;fonts: LT;
acroamàtic acroamàtica=categories: A;fonts: LT;
acrobiont=categories: A;fonts: LT;
acrobàtic acrobàtica=categories: A;fonts: LT;
acrocarp acrocarpa=categories: A;fonts: LT;
acrocinètic acrocinètica=categories: A;fonts: dsalut;
acrocont acroconta=categories: A;fonts: LT;
acrocàrpic acrocàrpica=categories: A;fonts: LT;
acrocèntric acrocèntrica=categories: A;fonts: LT;
acrodont acrodonta=categories: A;fonts: LT;
acroescleròtic acroescleròtica=categories: A;fonts: dsalut;
acrogen acrògena=categories: A;fonts: LT;
acrogin acrògina=categories: A;fonts: LT;
acromatínic acromatínica=categories: A;fonts: dsalut;
acromatòfil acromatòfila=categories: A;fonts: dsalut;
acromegàlic acromegàlica=categories: A;fonts: dsalut;
acromial=categories: A;fonts: LT;
acromioclavicular=categories: A;fonts: dsalut;
acromiocoracoidal=categories: A;fonts: dsalut;
acromioescapular=categories: A;fonts: dsalut;
acromiohumeral=categories: A;fonts: dsalut;
acromàtic acromàtica=categories: A;fonts: LT;
acromèlic acromèlica=categories: A;fonts: dsalut;
acromòfil acromòfila=categories: A;fonts: dsalut;
acronicte acronicta=categories: A;fonts: LT;
